datetime	laboratory:daune:sbe37_bsh_6966:temperature_0001 [°C]	laboratory:daune:sbe37_bsh_6966:conductivity_0001 [S/m]	laboratory:daune:sbe37_bsh_6966:pressure_0001 [m]	laboratory:daune:sbe37_bsh_6966:salinity_0001 [PSU]
2020-09-19T00:56:08.000	17.6615	4.29331	9.265	32.7471
2020-09-19T00:56:18.000	17.6652	4.29349	9.272	32.7457
2020-09-19T00:56:28.000	17.6612	4.29312	9.26	32.7458
2020-09-19T00:56:38.000	17.6621	4.29329	9.25	32.7464
2020-09-19T00:56:48.000	17.6639	4.29334	9.277	32.7454
2020-09-19T00:56:58.000	17.6586	4.29302	9.252	32.747
2020-09-19T00:57:08.000	17.6628	4.29336	9.243	32.7465
2020-09-19T00:57:18.000	17.6631	4.29332	9.257	32.7459
2020-09-19T00:57:28.000	17.6625	4.2933	9.263	32.7463
2020-09-19T00:57:38.000	17.6621	4.29319	9.258	32.7456
2020-09-19T00:57:48.000	17.6577	4.29269	9.239	32.7449
2020-09-19T00:57:58.000	17.6453	4.29103	9.285	32.7407
2020-09-19T00:58:08.000	17.6513	4.29196	9.237	32.7439
2020-09-19T00:58:18.000	17.6515	4.29213	9.252	32.7451
2020-09-19T00:58:28.000	17.6556	4.29259	9.261	32.7457
2020-09-19T00:58:38.000	17.6483	4.29194	9.229	32.746
2020-09-19T00:58:48.000	17.6542	4.29238	9.253	32.7451
2020-09-19T00:58:58.000	17.6585	4.29279	9.244	32.7451
2020-09-19T00:59:08.000	17.6554	4.2924	9.26	32.7443
2020-09-19T00:59:18.000	17.633	4.291	9.218	32.7504
2020-09-19T00:59:28.000	17.6458	4.29162	9.259	32.7454
2020-09-19T00:59:38.000	17.6265	4.29005	9.249	32.7475
2020-09-19T00:59:48.000	17.6219	4.28877	9.21	32.7404
2020-09-19T00:59:58.000	17.6148	4.28955	9.257	32.7527
2020-09-19T01:00:08.000	17.5828	4.28607	9.215	32.7488
2020-09-19T01:00:18.000	17.5951	4.286	9.25	32.7383
2020-09-19T01:00:28.000	17.5959	4.28558	9.207	32.7341
2020-09-19T01:00:38.000	17.5844	4.28204	9.262	32.7131
2020-09-19T01:00:48.000	17.5961	4.28566	9.227	32.7346
2020-09-19T01:00:58.000	17.586	4.28436	9.207	32.7316
2020-09-19T01:01:08.000	17.5805	4.28449	9.239	32.7372
2020-09-19T01:01:18.000	17.5857	4.28467	9.217	32.7346
2020-09-19T01:01:28.000	17.584	4.28402	9.202	32.7304
2020-09-19T01:01:38.000	17.5766	4.28333	9.231	32.7304
2020-09-19T01:01:48.000	17.5766	4.28351	9.181	32.732
2020-09-19T01:01:58.000	17.5824	4.28408	9.221	32.7322
2020-09-19T01:02:08.000	17.5809	4.28374	9.207	32.7304
2020-09-19T01:02:18.000	17.5831	4.28431	9.226	32.7336
2020-09-19T01:02:28.000	17.5823	4.28412	9.209	32.7326
2020-09-19T01:02:38.000	17.581	4.28386	9.198	32.7314
2020-09-19T01:02:48.000	17.5795	4.28378	9.206	32.7319
2020-09-19T01:02:58.000	17.5811	4.28404	9.2	32.7329
2020-09-19T01:03:08.000	17.5813	4.28395	9.194	32.7319
2020-09-19T01:03:18.000	17.5812	4.28387	9.212	32.7313
2020-09-19T01:03:28.000	17.5761	4.28327	9.196	32.7303
2020-09-19T01:03:38.000	17.5761	4.28325	9.193	32.7301
2020-09-19T01:03:48.000	17.577	4.28333	9.213	32.7301
2020-09-19T01:03:58.000	17.5767	4.2833	9.171	32.7302
2020-09-19T01:04:08.000	17.5774	4.28338	9.203	32.7302
2020-09-19T01:04:18.000	17.5777	4.28336	9.215	32.7298
2020-09-19T01:04:28.000	17.5754	4.28301	9.183	32.7286
2020-09-19T01:04:38.000	17.5761	4.28304	9.182	32.7284
2020-09-19T01:04:48.000	17.5766	4.28318	9.174	32.7291
2020-09-19T01:04:58.000	17.5778	4.2833	9.211	32.7293
2020-09-19T01:05:08.000	17.5784	4.28321	9.171	32.728
2020-09-19T01:05:18.000	17.5781	4.28329	9.188	32.7289
